"nombre","direccion","ciudad","provincia","ci"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 61","COLONIA SANTA ROSA","ESTANISLAO DEL CAMPO","Formosa","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 62","DEPTO PATIÑO","COLONIA EL PALMAR ","Corrientes","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 63","BARRIO ESTACION","PALO SANTO","Formosa","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 64","COMANDANTE FONTANA","FONTANA","Formosa","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 65","RUTA NACIONAL 90","LA SIRENA","Formosa","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 66","RESERVA MILITAR ZAPLA SITUADA A 300 MTS. DE RUTA NAC. 90 HACIA EL OESTE","LOMAS SENE","Formosa","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 67","PERU S/N° VILLA SAAVEDRA","TARTAGAL","Salta","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 68","DEPTO TARTAGAL","GENERAL MOSCONI","Salta","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 69","DEPTO TARTAGAL","VILLA CORNEJO","Salta","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 7","CHACRA 45 PASAJE PAI TUYA Y GOMEZ PORTILLO","POSADAS","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 70","CALLE GRINGO Y EL ARRIERO","SAN JUAN","San Juan","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 71","DEPTO CAPITAL AVDA. 25 DE MAYO 764","VIEDMA","Río Negro","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 72","MARIANO ACOSTA 1736","CIUDADELA ","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 73","LOTE 14","MORENO","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 74","MORENO 620","PASO DEL REY","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 75","SCHIAFFINO 376","LOMAS DE ZAMORA","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 76","LA PLATA 1466","LONGCHAMPS","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 77","ARISTOBULO DEL VALLE Y ASTURIAS","VILLA ROSA ","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 78","FRANCISCO BEIRO 89","GRAND BOURG","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 79","BARRIO DON SANCHO","MORENO","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 8","TERRENO FISCAL A 350 MTRS AVDA. MITRE Y RIBERA PARANA","POSADAS","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 80","GARIBALDI 5904","VIRREYES ","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 81","AZCUENAGA Y EL ZONDA BARRIO MITRE","SAN MIGUEL","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 82","CIRCUNVALACION 407","VILLA DE MAYO","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 83","LOTE 21 DEPTO. MORENO FRENTE A CALIXTO OYUELA ENTRE MARQUEZ DE AGUADO Y ROBERTO SCHEISMAN","LA PERLA","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 84","ALEMANIA Y DARDO ROCHA BARRIO KELLY MANZANA 11 LOTE 7","MARCOS PAZ","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 85","FRANCISCO LAPRIDA S/N°","RAMOS MEXIAS ","Río Negro","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 86","RIO NEGRO S/N°","LOS MENUCOS","Río Negro","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 87","CALLE 12 Y JULIAN PERAS","MAQUINCHAO ","Río Negro","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 88","PARCELA 14 CIRCUNSCRIPCION XIII SECCION B MANZANA 154","MAYOR BURATOVICH","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 89","CIRCUNSCRIPCION 1 SECCION B MANZANA 30 A PARCELA 18","MEDANOS ","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 9","CHACRA 77 BARRIO LAS ROSAS","POSADAS","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 90","BARRIO LAS MARLARINAS LOTE 4 MANZANA 2 B","CORONEL BRANDSEN","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 91","LOTE 19 MANZANA 68","OASIS ","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 92","RUTA PROV. 212 KM. 7 LOTE E","POSADAS","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 93","PEDRO AGUIRRE Y MANUEL VALLEJOS S/N LOTE 16 C Y A","ITATI","Corrientes","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 94","AVDA. SAN MARTIN KM.8 BARRIO LAS MALVINAS PARCELA 9 MANZANA S LOTE 12","ELDORADO","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 95","RUTA 17 KM. 19 AVDA. 9 DE JULIO LOTE 65","ELDORADO","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 96","RUTA 17 COLONIA LINIERS KM. 36 LOTE 144 FRACCION F","ELDORADO","Misiones","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 97","CALLE 11 N° 13 BARRIO VILLA LYNCH","CARMEN DE PATAGONES","Buenos Aires","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 98","SAN JUAN Y CARLOS PELLEGRINI MANZANA 5","EL COLORADO","Formosa","527"
"ASOCIACIÓN DE LA IGLESIA EVANGELICA ASAMBLEA DE DIOS CRISTIANA - FILIAL 99","CAÑUELAS S/N° MANZANA 34 LOTE 33","GONZALEZ CATAN","Buenos Aires","527"
"ASOCIACION DE LA IGLESIA EVANGELICA CRISTIANA INTERNACIONAL GRACIA Y GLORIA","LYNCH 3606","CIUDAD AUTÓNOMA DE BUENOS AIRES","Ciudad Autónoma de Buenos Aires","1035"
"ASOCIACION DE LA IGLESIA EVANGELICA CRISTIANA PENTECOSTAL","OVIDIO LAGOS 1466 ","LONGCHAMPS","Buenos Aires","2033"
"ASOCIACION DE LA IGLESIA EVANGELICA CRISTIANA PENTECOSTAL - FILIAL 1","MICHELIS 676 BARRIO MINISTRO RIVADAVIA","LONGCHAMPS","Buenos Aires","2033"
"ASOCIACION DE LA IGLESIA EVANGELICA CRISTIANA PENTECOSTAL - FILIAL 2","RAMOS MEJIA 1135","EZEIZA","Buenos Aires","2033"
"ASOCIACION DE LA IGLESIA EVANGELICA ELIM DE ARGENTINA","AVDA. DEL TEJAR 2622","RAFAEL CASTILLO","Buenos Aires","3132"
"ASOCIACION DE LA IGLESIA EVANGELICA ELIM DE ARGENTINA - FILIAL 1","BEETHOVEN 745 BARRIO EL TORERO","RAFAEL CASTILLO","Buenos Aires","3132"
"ASOCIACION DE LA IGLESIA EVANGELICA ELOHIM","LUIS VERNET 2930 ","RAFAEL CASTILLO","Buenos Aires","3257"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA","RIVADAVIA 4044 ","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 1","CABILDO 1622","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 10","CALLE 1810 N° 1844","BAHIA BLANCA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 100","BOLIVIA 585","SAN EDUARDO ","Santa Fe","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 101","DELLEPIANE 2832","MAR DEL PLATA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 102","VIDAL 739 LOMA PARAGUAYA","BAHIA BLANCA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 103","CALLE 3 N° 317","LA PLATA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 104","PETTIROSSI ESQUINA FORMOSA","CORDOBA","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 105","CARABOBO 1367/71","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 106","ENTRE RIOS 1427","MONTE MAIZ ","Santa Fe","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 107","ALVEAR 4784","ROSARIO","Santa Fe","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 108","URQUIZA 2943","SANTA FE","Santa Fe","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 109","INDEPENDENCIA S/N°","SAN JAVIER","Santa Fe","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 11","LINIERS 562/66","BAHIA BLANCA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 110","SAN MARTIN 1416","ALEJANDRA","Santa Fe","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 111","MUÑOZ 3827","CIUDADELA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 112","FRACCION 1 SOLAR B MANZANA 123","SAN MARTIN DE LOS ANDES","Neuquén","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 113","CORONEL VIDAL 730","BAHIA BLANCA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 114","RIO DE LAS TUNAS 5636 MANZANA R CASA 15","GUAYMALLEN","Mendoza","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 115","CARMEN DE LOS SANTOS MENDIETA S/N° MANZ. 45","GOBERNADOR MANSILLA","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 116","LINIERS 522","BAHIA BLANCA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 117","AVDA. JUAN DE GARAY 1626","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 118","ITUZAINGO 1039/1047","TEMPERLEY","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 119","AVDA. CASEROS 2516","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 12","CALLE 15 N° 677/79","BALCARCE","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 120","CIRC. XIII SECC. B MANZ. 149 PARCELA 3","INGENIERO BUDGE","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 121","LOTE PASTORIL N° 116 COLONIA NAHUEL HUAPI","SAN CARLOS DE BARILOCHE ","Río Negro","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 122","ASCOCHINGA 769 ALTA CORDOBA","CORDOBA","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 123","3 DE FEBRERO 2211","GENERAL ROCA","Río Negro","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 13","CHACABUCO 641","BERNAL","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 14","CLAVELES Y PARAISOS","LOMAS DEL MIRADOR","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 15","MUÑOZ 449","CIUDADELA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 16","RECONQUISTA 52/56","CHACABUCO","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 17","MORENO 130","CHIVILCOY","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 18","LARA 170","DOLORES","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 19","ALVEAR 1545","ITUZAINGO","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 2","OLAVARRIA 661/75","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 20","ALEM 231","JUNIN","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 21","LAS PIEDRAS 2565","LANUS ESTE","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 22","DIAGONAL 74 N° 861/67","LA PLATA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 23","SAAVEDRA 359","LOMAS DE ZAMORA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 24","FRANCISCO PORTELA 1145/51","LOMAS DE ZAMORA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 25","ALEM 45/51","LOMAS DE ZAMORA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 26","SAN JULIAN 232","LOMAS DE ZAMORA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 27","ROBERTSON Y MENDOZA","LUIS GUILLON","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 28","BELGRANO 3333/35","MAR DEL PLATA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 29","TRES SARGENTOS 1924/28","MARTINEZ ","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 3","RIVADAVIA 4044/50","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 30","CALLE 26 N° 744","MERCEDES","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 31","SUIPACHA 123","CARMEN DE PATAGONES","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 32","AZCUENAGA 281","PERGAMINO","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 33","PUEBLO RAMALLO","RAMALLO","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 34","FRANCISCO MADERO 548","VILLA SARMIENTO","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 35","1 DE MAYO 3265","REMEDIOS DE ESCALADA","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 36","GENERAL PAZ 429","ROJAS","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 37","SAN MARTIN 655","SAN PEDRO","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 38","ITUZAINGO 1047","TEMPERLEY","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 39","ROSARIO 115","VILLA BALLESTER ","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 4","YERBAL 2451","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 40","2 DE MAYO 3124","BERAZATEGUI","Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 41","EMILIO OLMOS 421","ALTA GRACIA","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 42","JERONIMO LUIS DE CABRERA 755","CORDOBA","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 43","LIMA 171/75","CORDOBA","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 44","CALLE 6 N° 339","CERRO DE LAS ROSAS ","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 45","AUGUSTO LOPEZ 754 BARRIO BUSTOS","CORDOBA","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 46","FLORIDA Y AVDA. SAN MARTIN","VILLA ALLENDE","Córdoba","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 47","R. ESCALANTE 201","DOLAVON","Chubut","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 48","ALVEAR 651","ESQUEL","Chubut","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 49","BRYN GWYN","GAIMAN","Chubut","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 5","PIERES 258","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 50","JUAN C. EVANS S/N°","GAIMAN","Chubut","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 51","ESPAÑA Y SAN MARTIN","PUERTO MADRYN","Chubut","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 52","SARMIENTO 65","TRELEW","Chubut","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 53","TREVELIN","TREVELIN","Chubut","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 54","25 DE MAYO 146","COLON","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 55","AMEGHINO 30","CONCEPCION DEL URUGUAY","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 56","BUENOS AIRES 272/80","CONCORDIA","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 57","CAMPAÑA","CRUCESITA VII","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 58","CHAJARI","CHAJARI","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 59","DONCRISTOBAL","DON CRISTOBAL","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 6","CORRIENTES 718","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 60","URUGUAY 736","MACIA","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 61","CAPILLA EVANGELICA","MANDISOVI","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 62","E. CARBO 255","PARANA","Entre Ríos","320"
"ASOCIACION DE LA IGLESIA EVANGELICA METODISTA ARGENTINA o IGLESIA EVANGELICA METODISTA ARGENTINA - FILIAL 63","URQUIZA 318","ROSARIO DEL TALA","Entre Ríos","320"
